,,,,,Children under 6 years with elevated blood lead levels (BLL) : Summarize
Topic: Health Behavior and Population
Subtopic: Childhood Lead Exposure
Indicator Name: Children under 6 years with elevated blood lead levels (BLL)
Indicator Description: There is no safe level of lead in the blood. Lead poisoning can cause learning and behavior problems and delay growth and mental development.
Notes: *Estimate is based on small numbers so should be interpreted with caution.

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number BLL >=10 µg/dL,Number BLL >=15 µg/dL,Number BLL >=5 µg/dL,Number Tested,"Rate BLL >=10 µg/dL (per 1,000 tested)","Rate BLL >=15 µg/dL (per 1,000 tested)","Rate BLL >=5 µg/dL (per 1,000 tested)",Notes Number BLL >=10 µg/dL,Notes Number BLL >=15 µg/dL,Notes Number BLL >=5 µg/dL,Notes Number Tested,Notes Rate BLL >=10 µg/dL,Notes Rate BLL >=15 µg/dL,Notes Rate BLL >=5 µg/dL,
2006,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),74,25,770,"6,600",11.3,3.8,117.2,,,,,,,,
2007,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),58,19,699,"6,700",8.7,2.9,105.1,,,,,,,,
2008,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),40,12,476,"7,100",5.7,1.7,67.3,,,,,,,,
2009,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),33,13,378,"7,500",4.4,1.7,50.5,,,,,,,,
2010,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),49,17,355,"8,200",6.0,2.1,43.5,,,,,,,,
2011,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),31,3,311,"8,300",3.7,0.4,37.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),25,6,217,"7,600",3.3,0.8,28.4,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),15,8,159,"7,200",2.1,1.1,21.9,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),18,3,144,"7,400",2.4,0.4,19.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),22,4,132,"7,700",2.9,0.5,17.2,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),17,3,130,"7,200",2.4,0.4,18.0,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),19,6,87,"6,800",2.8,0.9,12.7,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),12,3,92,"7,000",1.7,0.4,13.2,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Children under 6 years with elevated blood lead levels (BLL),9,0,56,"7,500",1.2,0.0,7.4,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),187,64,"2,214","14,800",12.7,4.3,150.0,,,,,,,,
2006,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),173,62,"2,121","13,900",12.5,4.5,153.0,,,,,,,,
2007,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),139,44,"1,852","13,700",10.2,3.2,135.7,,,,,,,,
2008,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),94,32,"1,094","13,800",6.8,2.3,79.1,,,,,,,,
2009,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),80,26,799,"14,000",5.7,1.9,56.9,,,,,,,,
2010,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),81,33,788,"14,600",5.6,2.3,54.0,,,,,,,,
2011,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),69,26,670,"14,500",4.7,1.8,46.1,,,,,,,,
2012,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),35,13,450,"13,400",2.6,1.0,33.6,,,,,,,,
2013,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),43,15,387,"12,800",3.4,1.2,30.2,,,,,,,,
2014,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),38,11,304,"12,200",3.1,0.9,25.0,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),37,10,264,"11,500",3.2,0.9,23.0,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),37,13,236,"10,700",3.5,1.2,22.1,,,,,,,,
2017,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),31,10,183,"10,200",3.0,1.0,17.9,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),43,17,202,"9,800",4.4,1.7,20.6,,,,,,,,
2019,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Children under 6 years with elevated blood lead levels (BLL),29,10,156,"10,100",2.9,1.0,15.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),42,6,778,"4,800",8.7,1.2,161.8,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2006,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),22,8,762,"4,900",4.5,1.6,154.2,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2007,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),16,6,525,"4,700",3.4,1.3,111.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2008,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),21,5,271,"4,600",4.6,1.1,58.9,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2009,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),15,6,158,"4,500",3.3,1.3,35.1,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2010,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),19,9,144,"4,500",4.3,2.0,32.4,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2011,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),12,6,116,"4,400",2.7,1.4,26.2,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),7,3,63,"4,200",1.7,0.7,15.1,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),10,7,60,"3,900",2.5,1.8,15.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),7,4,66,"3,800",1.9,1.1,17.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),7,2,45,"3,500",2.0,0.6,12.8,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),5,2,26,"3,300",1.5,0.6,7.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),7,3,27,"3,200",2.2,0.9,8.4,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),4,0,20,"3,200",1.3,0.0,6.3,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Manhattan, East Harlem,303,Children under 6 years with elevated blood lead levels (BLL),1,0,23,"3,100",0.3,0.0,7.4,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),156,47,"1,767","10,800",14.5,4.4,163.8,,,,,,,,
2006,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),167,48,"1,595","10,400",16.1,4.6,153.8,,,,,,,,
2007,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),116,29,"1,378","10,700",10.9,2.7,128.9,,,,,,,,
2008,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),68,24,742,"10,800",6.3,2.2,68.5,,,,,,,,
2009,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),57,23,504,"11,200",5.1,2.1,45.0,,,,,,,,
2010,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),50,21,434,"11,200",4.5,1.9,38.8,,,,,,,,
2011,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),49,15,426,"11,200",4.4,1.3,38.2,,,,,,,,
2012,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),25,10,279,"10,600",2.4,0.9,26.4,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),32,12,239,"10,400",3.1,1.2,23.0,,,,,,,,
2014,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),40,17,220,"10,200",3.9,1.7,21.6,,,,,,,,
2015,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),41,14,193,"10,200",4.0,1.4,18.8,,,,,,,,
2016,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),24,3,158,"9,700",2.5,0.3,16.3,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),25,10,129,"9,600",2.6,1.0,13.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),23,8,118,"9,300",2.5,0.9,12.7,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Brooklyn, East New York,204,Children under 6 years with elevated blood lead levels (BLL),23,14,89,"9,200",2.5,1.5,9.7,,,,,,,,
2005,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),56,21,458,"6,700",8.3,3.1,67.9,,,,,,,,
2006,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),33,10,455,"7,000",4.7,1.4,64.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2007,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),21,8,424,"7,400",2.9,1.1,57.6,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2008,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),24,11,312,"8,000",3.0,1.4,39.0,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2009,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),23,9,239,"8,200",2.8,1.1,29.3,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2010,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),23,7,241,"8,400",2.7,0.8,28.7,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2011,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),13,7,149,"8,200",1.6,0.9,18.1,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),19,9,114,"8,400",2.3,1.1,13.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),15,3,111,"8,700",1.7,0.3,12.8,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),17,4,119,"8,800",1.9,0.5,13.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),15,7,108,"9,400",1.6,0.7,11.5,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),12,4,74,"9,600",1.2,0.4,7.7,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),13,7,72,"9,800",1.3,0.7,7.3,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),8,4,55,"9,100",0.9,0.4,6.1,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Children under 6 years with elevated blood lead levels (BLL),11,3,42,"9,000",1.2,0.3,4.7,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),132,36,"1,697","13,000",10.1,2.8,130.5,,,,,,,,
2006,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),120,40,"1,458","13,300",9.0,3.0,109.7,,,,,,,,
2007,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),90,29,"1,288","13,300",6.8,2.2,97.0,,,,,,,,
2008,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),75,25,951,"13,700",5.5,1.8,69.5,,,,,,,,
2009,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),74,31,647,"13,900",5.3,2.2,46.5,,,,,,,,
2010,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),76,21,629,"13,900",5.5,1.5,45.1,,,,,,,,
2011,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),75,26,453,"13,900",5.4,1.9,32.5,,,,,,,,
2012,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),52,22,348,"12,900",4.0,1.7,27.0,,,,,,,,
2013,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),57,23,309,"12,800",4.5,1.8,24.2,,,,,,,,
2014,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),48,18,281,"12,700",3.8,1.4,22.2,,,,,,,,
2015,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),31,15,217,"12,400",2.5,1.2,17.4,,,,,,,,
2016,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),47,24,209,"11,900",3.9,2.0,17.5,,,,,,,,
2017,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),42,16,190,"11,800",3.6,1.4,16.2,,,,,,,,
2018,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),37,17,152,"11,400",3.3,1.5,13.4,,,,,,,,
2019,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Children under 6 years with elevated blood lead levels (BLL),36,17,140,"11,100",3.2,1.5,12.6,,,,,,,,
2005,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),14,7,204,"3,400",4.1,2.1,60.1,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2006,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),15,4,218,"3,400",4.4,1.2,63.4,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2007,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),9,6,216,"3,500",2.6,1.7,61.6,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2008,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),9,5,147,"3,600",2.5,1.4,40.4,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2009,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),9,2,131,"3,800",2.4,0.5,34.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2010,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),11,4,93,"3,900",2.8,1.0,24.0,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2011,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),4,1,67,"4,000",1.0,0.3,16.8,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2012,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),6,1,54,"4,000",1.5,0.3,13.6,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2013,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),4,3,60,"4,100",1.0,0.7,14.7,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2014,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),7,5,45,"4,200",1.7,1.2,10.8,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2015,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),10,4,42,"4,000",2.5,1.0,10.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2016,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),1,1,29,"3,800",0.3,0.3,7.7,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2017,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),6,1,38,"4,000",1.5,0.3,9.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2018,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),9,5,34,"3,900",2.3,1.3,8.7,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2019,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Children under 6 years with elevated blood lead levels (BLL),6,3,23,"3,700",1.6,0.8,6.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2005,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Children under 6 years with elevated blood lead levels (BLL),12,1,153,"1,800",6.7,0.6,85.7,,*Estimate is based on small numbers so should be interpreted with caution.,,,,*Estimate is based on small numbers so should be interpreted with caution.,,
2006,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Children under 6 years with elevated blood lead levels (BLL),10,4,154,"2,000",5.1,2.1,78.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
2007,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Children under 6 years with elevated blood lead levels (BLL),7,0,151,"1,900",3.7,0.0,79.2,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,,
